"day","time","latitude","longitude","T"
16679,2070-09-01,12.7225130890052,358.75,291.67496
16679.5,2070-09-01,12.7225130890052,358.75,304.34894
16680,2070-09-02,12.7225130890052,358.75,292.70227
16680.5,2070-09-02,12.7225130890052,358.75,303.5796
16681,2070-09-03,12.7225130890052,358.75,292.16653
16681.5,2070-09-03,12.7225130890052,358.75,304.62198
16682,2070-09-04,12.7225130890052,358.75,292.46924
16682.5,2070-09-04,12.7225130890052,358.75,304.17178
16683,2070-09-05,12.7225130890052,358.75,293.66055
16683.5,2070-09-05,12.7225130890052,358.75,305.16907
16684,2070-09-06,12.7225130890052,358.75,293.53613
16684.5,2070-09-06,12.7225130890052,358.75,306.82507
16685,2070-09-07,12.7225130890052,358.75,293.9268
16685.5,2070-09-07,12.7225130890052,358.75,306.35938
16686,2070-09-08,12.7225130890052,358.75,293.3165
16686.5,2070-09-08,12.7225130890052,358.75,305.41147
16687,2070-09-09,12.7225130890052,358.75,292.71774
16687.5,2070-09-09,12.7225130890052,358.75,305.9122
16688,2070-09-10,12.7225130890052,358.75,293.06357
16688.5,2070-09-10,12.7225130890052,358.75,306.74658
16689,2070-09-11,12.7225130890052,358.75,293.92892
16689.5,2070-09-11,12.7225130890052,358.75,306.8651
16690,2070-09-12,12.7225130890052,358.75,293.44818
16690.5,2070-09-12,12.7225130890052,358.75,305.1759
16691,2070-09-13,12.7225130890052,358.75,292.51202
16691.5,2070-09-13,12.7225130890052,358.75,304.37793
16692,2070-09-14,12.7225130890052,358.75,291.67264
16692.5,2070-09-14,12.7225130890052,358.75,304.2403
16693,2070-09-15,12.7225130890052,358.75,291.4649
16693.5,2070-09-15,12.7225130890052,358.75,304.812
16694,2070-09-16,12.7225130890052,358.75,291.69025
16694.5,2070-09-16,12.7225130890052,358.75,305.53903
16695,2070-09-17,12.7225130890052,358.75,292.32413
16695.5,2070-09-17,12.7225130890052,358.75,306.72495
16696,2070-09-18,12.7225130890052,358.75,293.79868
16696.5,2070-09-18,12.7225130890052,358.75,308.22803
16697,2070-09-19,12.7225130890052,358.75,296.269
16697.5,2070-09-19,12.7225130890052,358.75,308.66748
16698,2070-09-20,12.7225130890052,358.75,297.1665
16698.5,2070-09-20,12.7225130890052,358.75,306.86966
16699,2070-09-21,12.7225130890052,358.75,297.2836
16699.5,2070-09-21,12.7225130890052,358.75,307.84985
16700,2070-09-22,12.7225130890052,358.75,297.15872
16700.5,2070-09-22,12.7225130890052,358.75,306.63712
16701,2070-09-23,12.7225130890052,358.75,296.3309
16701.5,2070-09-23,12.7225130890052,358.75,308.14987
16702,2070-09-24,12.7225130890052,358.75,296.88272
16702.5,2070-09-24,12.7225130890052,358.75,309.21747
16703,2070-09-25,12.7225130890052,358.75,297.6222
16703.5,2070-09-25,12.7225130890052,358.75,310.01404
16704,2070-09-26,12.7225130890052,358.75,298.8516
16704.5,2070-09-26,12.7225130890052,358.75,311.55536
